ID	Mean_Control	Mean_Patient	Mean_Change	LogFC	Pvalue	FDR
513	10.3101	9.9865	-0.3236	-0.3236	0.073	0.27
514	7.0846	7.1988	0.1141	0.1141	0.11	0.33
515	9.4299	9.4328	0.0028	0.0028	0.98	0.99
516	8.3782	8.1841	-0.1941	-0.1941	0.2	0.44
517	10.0512	9.5899	-0.4613	-0.4613	0.0019	0.18
518	8.8965	8.6776	-0.2189	-0.2189	0.22	0.46
521	9.4419	9.2085	-0.2334	-0.2334	0.18	0.42
522	8.5331	8.5141	-0.019	-0.019	0.87	0.93
523	7.0441	7.3097	0.2655	0.2655	0.0028	0.18
525	7.1304	7.0522	-0.0782	-0.0782	0.1	0.32
526	8.5553	8.8058	0.2505	0.2505	0.015	0.19
527	9.701	9.4588	-0.2422	-0.2422	0.044	0.24
528	6.9092	7.3354	0.4262	0.4262	0.0025	0.18
529	8.7011	8.6895	-0.0116	-0.0116	0.93	0.97
533	7.5345	7.7689	0.2344	0.2344	0.0069	0.18
535	8.168	8.2971	0.1291	0.1291	0.43	0.65
537	8.5175	8.3795	-0.138	-0.138	0.071	0.27
538	6.3969	6.5734	0.1765	0.1765	0.046	0.24
539	10.2286	9.9973	-0.2313	-0.2313	0.18	0.41
540	6.7208	6.6593	-0.0615	-0.0615	0.067	0.27
545	6.3285	6.5194	0.1908	0.1908	0.042	0.23
546	7.3682	7.4619	0.0936	0.0936	0.39	0.61
547	7.0561	6.9875	-0.0686	-0.0686	0.099	0.31
549	7.3924	7.4581	0.0657	0.0657	0.43	0.65
550	8.252	8.3829	0.1309	0.1309	0.19	0.42
551	7.234	7.1346	-0.0993	-0.0993	0.051	0.24
552	6.8508	6.8567	0.0059	0.0059	0.95	0.97
553	7.6368	7.3908	-0.246	-0.246	0.0071	0.18
554	6.761	6.7074	-0.0535	-0.0535	0.15	0.38
558	7.5991	7.4827	-0.1164	-0.1164	0.24	0.48
563	6.6605	6.5987	-0.0618	-0.0618	0.09	0.3
566	7.6898	7.5056	-0.1842	-0.1842	0.086	0.29
567	9.3817	9.1302	-0.2516	-0.2516	0.11	0.33
570	6.1969	6.2155	0.0186	0.0186	0.65	0.81
571	6.9309	7.1361	0.2052	0.2052	0.053	0.25
572	7.3357	7.3107	-0.025	-0.025	0.57	0.75
573	7.9451	8.0963	0.1512	0.1512	0.22	0.45
574	5.8966	6.0028	0.1062	0.1062	0.3	0.54
575	7.5843	7.4257	-0.1586	-0.1586	0.03	0.22
576	7.2019	7.1215	-0.0803	-0.0803	0.12	0.34
577	6.0408	6.0606	0.0198	0.0198	0.49	0.7
578	7.5415	7.4158	-0.1257	-0.1257	0.093	0.3
579	7.0865	6.9858	-0.1007	-0.1007	0.059	0.25
580	7.2133	7.3182	0.1049	0.1049	0.38	0.6
581	7.9543	7.7439	-0.2104	-0.2104	0.056	0.25
582	6.92	6.9105	-0.0095	-0.0095	0.85	0.92
583	7.9145	7.999	0.0846	0.0846	0.51	0.71
585	6.9353	7.0056	0.0703	0.0703	0.56	0.75
586	6.8024	6.8168	0.0144	0.0144	0.81	0.9
587	7.509	7.4422	-0.0668	-0.0668	0.3	0.54
590	6.0166	6.0861	0.0694	0.0694	0.36	0.58
593	8.4415	8.2877	-0.1538	-0.1538	0.12	0.34
594	7.3851	7.4339	0.0488	0.0488	0.75	0.87
595	7.5832	7.4352	-0.148	-0.148	0.18	0.41
596	7.4229	7.3769	-0.046	-0.046	0.74	0.86
